,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_normalize,param_tol,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
9,0.0033372879028320313,0.00037121087057533997,0.0018357276916503907,0.00033414904742808544,0.0001,False,0.0001,"{'alpha': 0.0001, 'normalize': False, 'tol': 0.0001}",-0.015819038199790237,-0.019879711414189646,-0.020357304719043,-0.017115668483484284,-0.019628652949495062,-0.018560075153200444,0.0017727338597697557,4,0.8941319832029279,0.8900906787915981,0.878688355708011,0.8820207721635247,0.8721083827621727,0.8834080345256469,0.007893577194111597,4
10,0.003529787063598633,0.0007328396247816956,0.0024156093597412108,0.0005003533984795096,0.0001,False,0.0002,"{'alpha': 0.0001, 'normalize': False, 'tol': 0.0002}",-0.015819038199790237,-0.019879711414189646,-0.020357304719043,-0.017115668483484284,-0.019628652949495062,-0.018560075153200444,0.0017727338597697557,4,0.8941319832029279,0.8900906787915981,0.878688355708011,0.8820207721635247,0.8721083827621727,0.8834080345256469,0.007893577194111597,4
11,0.0036942005157470704,0.00022156630443521304,0.002122163772583008,0.0002713269633472653,0.0001,False,0.0005,"{'alpha': 0.0001, 'normalize': False, 'tol': 0.0005}",-0.015819038199790237,-0.019879711414189646,-0.020357304719043,-0.017115668483484284,-0.019628652949495062,-0.018560075153200444,0.0017727338597697557,4,0.8941319832029279,0.8900906787915981,0.878688355708011,0.8820207721635247,0.8721083827621727,0.8834080345256469,0.007893577194111597,4
12,0.004436492919921875,0.002050613985405453,0.002186155319213867,0.0006285433409647746,0.0001,False,0.001,"{'alpha': 0.0001, 'normalize': False, 'tol': 0.001}",-0.015819038199790237,-0.019879711414189646,-0.020357304719043,-0.017115668483484284,-0.019628652949495062,-0.018560075153200444,0.0017727338597697557,4,0.8941319832029279,0.8900906787915981,0.878688355708011,0.8820207721635247,0.8721083827621727,0.8834080345256469,0.007893577194111597,4
13,0.004915571212768555,0.0008106538626525801,0.0027864456176757814,0.0004287250128667687,0.0001,False,2e-05,"{'alpha': 0.0001, 'normalize': False, 'tol': 2e-05}",-0.01581894241021611,-0.01987971040695318,-0.02035744001022166,-0.017115697305676046,-0.01962851683572395,-0.01856006139375819,0.0017727696602372815,1,0.8941326242692249,0.8900906843603247,0.8786875494914922,0.8820205734905993,0.872109269619277,0.8834081402461835,0.007893601832065797,1
14,0.0041767597198486325,0.0008585365120697989,0.0018167495727539062,0.00010343091494795748,0.001,True,1e-05,"{'alpha': 0.001, 'normalize': True, 'tol': 1e-05}",-0.019093616961538187,-0.02378799529243289,-0.02463779617999898,-0.02016936874495169,-0.021538487115241256,-0.0218454528588326,0.0020998447113908646,32,0.8722170503875646,0.8684828787990465,0.8531803886822661,0.8609714512305088,0.8596647484108089,0.8629033035020388,0.006732501859088087,32
15,0.003059053421020508,0.0005701236755769627,0.0019455432891845703,0.00036453233647413885,0.001,True,5e-05,"{'alpha': 0.001, 'normalize': True, 'tol': 5e-05}",-0.019094145001292317,-0.0237881447091607,-0.024638263445293428,-0.02016952240559336,-0.021538724627994176,-0.0218457600378668,0.0020998267616179653,34,0.8722135165114304,0.8684820527160724,0.853177604191786,0.8609703920394014,0.8596632008828066,0.8629013532682993,0.006732401188807292,34
16,0.0026825904846191407,0.00022442859448939655,0.001840066909790039,0.00028199544009331075,0.001,True,0.0001,"{'alpha': 0.001, 'normalize': True, 'tol': 0.0001}",-0.019094797081637364,-0.02378824900075985,-0.024638322803769545,-0.020169117204134796,-0.02153892297924146,-0.0218458818139086,0.0020997498640227615,35,0.8722091525006701,0.8684814761172157,0.853177250467438,0.8609731851149536,0.8596619085138467,0.8629005945428249,0.0067311649022624,35
17,0.0033568859100341795,0.0007157431753543839,0.0018558979034423828,0.0002100608346842609,0.001,True,0.0002,"{'alpha': 0.001, 'normalize': True, 'tol': 0.0002}",-0.019094519765898637,-0.02378819475422628,-0.024636352460711847,-0.02016853568168252,-0.021538811097608825,-0.021845282752025623,0.0020993846615497873,31,0.8722110084205379,0.8684817760310102,0.8531889919803468,0.8609771935806443,0.859662637485059,0.8629043214995196,0.00672803664419459,31
18,0.0027532577514648438,0.00025988136951410866,0.0016658782958984375,0.00022004877082729325,0.001,True,0.0005,"{'alpha': 0.001, 'normalize': True, 'tol': 0.0005}",-0.01908860369426236,-0.023786884799217874,-0.02463402431119657,-0.0201700428180702,-0.021536415187009248,-0.02184319416195125,0.0020999039796626186,29,0.8722506013947411,0.868489018403034,0.8532028657052704,0.860966804808074,0.8596782481783718,0.8629175076978981,0.006735290380312208,29
19,0.0022816181182861326,0.0003310812078453187,0.001510286331176758,0.00021143131659757838,0.001,True,0.001,"{'alpha': 0.001, 'normalize': True, 'tol': 0.001}",-0.01908848748441539,-0.023786653122426275,-0.024634106530083154,-0.020173968625171367,-0.021535265776952785,-0.021843696307809794,0.002099322080057107,30,0.872251379122557,0.8684902992787155,0.8532023757529676,0.8609397440075638,0.8596857372257032,0.8629139070775013,0.006736716934236154,30
20,0.002525520324707031,0.0003311348395388491,0.0015506267547607422,0.00017644949106640704,0.001,True,2e-05,"{'alpha': 0.001, 'normalize': True, 'tol': 2e-05}",-0.019093564796709712,-0.023787985633580217,-0.024637819588124187,-0.020169486481289328,-0.021538488897283527,-0.021845469079397394,0.0020998439755995023,33,0.8722173994977234,0.8684829322001205,0.853180249190413,0.8609706396675706,0.8596647367998099,0.8629031914711275,0.006732695292246655,33
21,0.0034379482269287108,0.0008269249505943726,0.002403593063354492,0.0005582757357571656,0.001,False,1e-05,"{'alpha': 0.001, 'normalize': False, 'tol': 1e-05}",-0.015976084013733658,-0.01989832715339102,-0.02028232386204229,-0.017213854677628072,-0.0197316035937932,-0.018620438660117648,0.0017088381392686444,12,0.8930809629918071,0.8899877576164972,0.8791351757158026,0.881343969421028,0.871437601918024,0.8829970935326317,0.0077694643643385075,12
