,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_intercept,param_l1_ratio,param_max_iter,param_normalize,param_tol,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
0,0.0035134315490722655,0.0010732899489739843,0.002296161651611328,0.0004471709209573993,0.1,False,0.04,1000000,True,0.01,"{'alpha': 0.1, 'fit_intercept': False, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': True, 'tol': 0.01}",-147.84964575006626,-147.57241229390394,-145.82563499332238,-148.23627260779799,-146.30332483869697,-147.15745809675752,0.9293490069637678,71,-988.4753765697801,-814.88627351664,-867.9926198538026,-1020.8006381989128,-952.247727647733,-928.8805271573735,76.48386243914348,71
1,0.003336477279663086,0.00049995229750678,0.0032271862030029295,0.000431462550086724,0.1,False,0.04,1000000,True,0.001,"{'alpha': 0.1, 'fit_intercept': False, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': True, 'tol': 0.001}",-147.83908379855632,-147.5723130131831,-145.82646036025122,-148.23460590546077,-146.30424219390727,-147.15534105427173,0.9269817196629524,69,-988.4046913077724,-814.8857246215173,-867.9975383152916,-1020.7891495296291,-952.2537047283674,-928.8661617005157,76.46983551392914,69
2,0.003248786926269531,0.0008334509764394059,0.0024365901947021483,0.0003721590272213409,0.1,False,0.04,1000000,True,0.0001,"{'alpha': 0.1, 'fit_intercept': False, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': True, 'tol': 0.0001}",-147.84026567270047,-147.57163503796573,-145.8263452616198,-148.23394381426348,-146.3037755224492,-147.15519306179974,0.9270598567533043,67,-988.4126009335134,-814.8819762876313,-867.9968524286073,-1020.7845856992249,-952.2506641036418,-928.8653358905237,76.47101069090901,67
3,0.0029387474060058594,0.0007114087920767907,0.002467060089111328,0.0006271635522947073,0.1,False,0.04,1000000,False,0.01,"{'alpha': 0.1, 'fit_intercept': False, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': False, 'tol': 0.01}",-147.84964575006626,-147.57241229390394,-145.82563499332238,-148.23627260779799,-146.30332483869697,-147.15745809675752,0.9293490069637678,71,-988.4753765697801,-814.88627351664,-867.9926198538026,-1020.8006381989128,-952.247727647733,-928.8805271573735,76.48386243914348,71
4,0.0033361434936523436,0.0009758792103523374,0.002387809753417969,0.0005807836145657957,0.1,False,0.04,1000000,False,0.001,"{'alpha': 0.1, 'fit_intercept': False, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': False, 'tol': 0.001}",-147.83908379855632,-147.5723130131831,-145.82646036025122,-148.23460590546077,-146.30424219390727,-147.15534105427173,0.9269817196629524,69,-988.4046913077724,-814.8857246215173,-867.9975383152916,-1020.7891495296291,-952.2537047283674,-928.8661617005157,76.46983551392914,69
5,0.0032423973083496095,0.0008089636842315091,0.002425861358642578,0.00045875197753720133,0.1,False,0.04,1000000,False,0.0001,"{'alpha': 0.1, 'fit_intercept': False, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': False, 'tol': 0.0001}",-147.84026567270047,-147.57163503796573,-145.8263452616198,-148.23394381426348,-146.3037755224492,-147.15519306179974,0.9270598567533043,67,-988.4126009335134,-814.8819762876313,-867.9968524286073,-1020.7845856992249,-952.2506641036418,-928.8653358905237,76.47101069090901,67
6,0.0037008285522460937,0.0004097477709662239,0.0025897979736328124,0.0006598095297967169,0.1,False,0.05,1000000,True,0.01,"{'alpha': 0.1, 'fit_intercept': False, 'l1_ratio': 0.05, 'max_iter': 1000000, 'normalize': True, 'tol': 0.01}",-147.82738904508395,-147.55071780520612,-145.81711274918226,-148.21610529129742,-146.2897945944589,-147.14022389704573,0.9243457223475499,65,-988.3264248328189,-814.7663308033348,-867.9418347688435,-1020.6616237963749,-952.1595705632055,-928.7711569529156,76.46569497877036,65
7,0.002817678451538086,0.0004467314618994563,0.0022925853729248045,0.0006058881284757349,0.1,False,0.05,1000000,True,0.001,"{'alpha': 0.1, 'fit_intercept': False, 'l1_ratio': 0.05, 'max_iter': 1000000, 'normalize': True, 'tol': 0.001}",-147.81733000729747,-147.55172357292227,-145.81809844052628,-148.21478593499276,-146.29075465422287,-147.13853852199233,0.9221808668604079,63,-988.2591052924088,-814.7718914095566,-867.9477086229394,-1020.652529402065,-952.1658258878157,-928.7594121229571,76.45081668213169,63
8,0.002323770523071289,0.0002857980938801638,0.0021083831787109377,0.0005769804567843263,0.1,False,0.05,1000000,True,0.0001,"{'alpha': 0.1, 'fit_intercept': False, 'l1_ratio': 0.05, 'max_iter': 1000000, 'normalize': True, 'tol': 0.0001}",-147.81901579128805,-147.55084470576395,-145.81810977527385,-148.2140287510914,-146.29027505163486,-147.13845481501045,0.9222589540211776,61,-988.2703873062441,-814.7670324007514,-867.947776168073,-1020.6473100925125,-952.162701009569,-928.75904139543,76.45256515355534,61
9,0.04846401214599609,0.05498774532217547,0.0029683589935302736,0.000708642770060103,0.1,False,0.05,1000000,False,0.01,"{'alpha': 0.1, 'fit_intercept': False, 'l1_ratio': 0.05, 'max_iter': 1000000, 'normalize': False, 'tol': 0.01}",-147.82738904508395,-147.55071780520612,-145.81711274918226,-148.21610529129742,-146.2897945944589,-147.14022389704573,0.9243457223475499,65,-988.3264248328189,-814.7663308033348,-867.9418347688435,-1020.6616237963749,-952.1595705632055,-928.7711569529156,76.46569497877036,65
