,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_copy_X,param_fit_intercept,param_normalize,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1,0.0040492057800292965,0.0012419188642754195,0.001859569549560547,0.0002648874663593678,True,True,False,"{'copy_X': True, 'fit_intercept': True, 'normalize': False}",-0.015808926191818812,-0.019884601089267394,-0.020371915708815025,-0.017109718181567056,-0.019622503642468037,-0.018559532962787263,0.0017797889724411593,1
5,0.002586698532104492,0.0002795782751547363,0.0014574527740478516,0.0002929395438204761,False,True,False,"{'copy_X': False, 'fit_intercept': True, 'normalize': False}",-0.015808926191818812,-0.019884601089267394,-0.020371915708815025,-0.017109718181567056,-0.019622503642468037,-0.018559532962787263,0.0017797889724411593,1
0,0.015488052368164062,0.01426468943314811,0.0018768310546875,0.0003841813982858563,True,True,True,"{'copy_X': True, 'fit_intercept': True, 'normalize': True}",-0.01580892619181875,-0.019884601089267213,-0.02037191570881551,-0.01710971818156681,-0.019622503642468824,-0.018559532962787423,0.0017797889724413846,3
4,0.0027080059051513674,0.0002761942492109995,0.001314544677734375,0.0001992027164175335,False,True,True,"{'copy_X': False, 'fit_intercept': True, 'normalize': True}",-0.01580892619181875,-0.019884601089267213,-0.02037191570881551,-0.01710971818156681,-0.019622503642468824,-0.018559532962787423,0.0017797889724413846,3
2,0.003097820281982422,0.00030301365256690414,0.0016767501831054688,0.00019039000090364624,True,False,True,"{'copy_X': True, 'fit_intercept': False, 'normalize': True}",-0.01609196890818913,-0.01956035527496008,-0.020516846506952485,-0.01726763604566542,-0.01993366291298897,-0.018674093929751216,0.0016978341298850153,5
3,0.0023426055908203126,0.0001865159744434845,0.001500988006591797,0.00022748009281843028,True,False,False,"{'copy_X': True, 'fit_intercept': False, 'normalize': False}",-0.01609196890818913,-0.01956035527496008,-0.020516846506952485,-0.01726763604566542,-0.01993366291298897,-0.018674093929751216,0.0016978341298850153,5
6,0.002769660949707031,0.00015359918922817456,0.0016252517700195313,0.0004219280169232248,False,False,True,"{'copy_X': False, 'fit_intercept': False, 'normalize': True}",-0.01609196890818913,-0.01956035527496008,-0.020516846506952485,-0.01726763604566542,-0.01993366291298897,-0.018674093929751216,0.0016978341298850153,5
7,0.003279256820678711,0.0001510736763188251,0.0016496658325195312,0.00015638887822145734,False,False,False,"{'copy_X': False, 'fit_intercept': False, 'normalize': False}",-0.01609196890818913,-0.01956035527496008,-0.020516846506952485,-0.01726763604566542,-0.01993366291298897,-0.018674093929751216,0.0016978341298850153,5
